Start_Time,Severity,Weather_Condition,Temperature(F),Visibility(mi),Start_Lat,Start_Lng
2023-01-01 07:15:00,2,Clear,68,10,34.0522,-118.2437
2023-01-01 08:40:00,3,Rain,60,5,29.7604,-95.3698
2023-01-02 17:20:00,4,Fog,55,2,41.8781,-87.6298
2023-01-02 18:10:00,2,Cloudy,65,8,33.4484,-112.0740
2023-01-03 09:30:00,1,Clear,72,10,39.7392,-104.9903
2023-01-03 22:15:00,3,Rain,58,4,32.7767,-96.7970
2023-01-04 06:50:00,2,Fog,50,1,37.7749,-122.4194
2023-01-04 14:05:00,1,Clear,75,10,47.6062,-122.3321
2023-01-05 16:45:00,4,Snow,30,3,44.9778,-93.2650
2023-01-05 19:30:00,3,Cloudy,62,7,25.7617,-80.1918
2023-01-06 08:10:00,2,Rain,59,6,39.9526,-75.1652
2023-01-06 12:00:00,1,Clear,80,10,36.1699,-115.1398
2023-01-07 07:25:00,3,Fog,48,2,42.3601,-71.0589
2023-01-07 17:55:00,2,Cloudy,66,9,38.9072,-77.0369
2023-01-08 10:10:00,1,Clear,74,10,35.2271,-80.8431
2023-01-08 21:40:00,4,Rain,57,3,45.5152,-122.6784
2023-01-09 15:20:00,2,Cloudy,68,8,39.1031,-84.5120
2023-01-09 18:05:00,3,Snow,28,2,43.0389,-87.9065
2023-01-10 11:30:00,1,Clear,77,10,33.7490,-84.3880
2023-01-10 20:50:00,4,Fog,49,1,40.7128,-74.0060
